title,input,choices,target,target_index,task_description
Green Grow the Rushes,"M:4/4
L:1/8
K:G
P:A
D2|:""G""G2BA B/2G3/2GB|""Am""A/2e3/2ed ""D""e/2A3/2AB","['""C""cdec ""G""BcdB', 'P:B', '[2""Am""AcBA ""Em""G/2E3/2D2', '""C""e/2a3/2ag ""D""a/2e3/2ef', ':""G""G2gf g/2d3/2dg', '\
[1""Am""AcBA ""Em""G/2E3/2E2:']",052143,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Greencastle Hornpipe,"M:4/4
L:1/8
K:G
P:A
dc|""G""BGDG BGDG|""G""(3gagfg ""C""e2dc","['""Am""dcB/2c3/2 ""D7""A2dc', '""G""BGDG BGDG', '""G""BGDG BGDG', '""G""(3gagfg ""C""e2dc']",1023,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Humours of California,"M:4/4
L:1/8
K:G
(3DEF|""G""GFGB ""D7""AGED|""G""GBdg ""C""e2""D7""(3def","['""G""GFGB ""D7""AGED', '""G""gfgd ""Em""edBG', '\
""Am""ABAG ""D7""E2(3DEF', '""G""GBdg ""C""e2""D7""(3def']",1203,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Hamish,"M:4/4
L:1/8
K:D
(3ABc|""D""dcdf ""A7""ec(3ABc|""G""dBGB ""D""AFDF","['""Em""EGFA GBgf', '""E7""edcB ""A7""AB(3cBA', '""D""dcdf ""Em""e^deg', '""D""f^efg afdA']",0123,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Harvest Home,"M:4/4
L:1/8
K:D
P:A
AF|""D""DAFA DAFA|""D""defe dcBA","['""A""eAfA gAfA', '""D""DAFA DAFA', '""Em""edcB ""A7""AGFE', '""D""defe dcBA']",0213,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The High Level,"M:4/4
L:1/8
K:G
P:A
BA|""G""GBDG B,DGB|""G""dgBd GBAG","['""G""dgBd GBAG', '""D7""ed^cd ed=cA', '""G""GBDG B,DGB', '""D7""AcFA DFAc']",3120,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Jenny's Bawbee,"M:4/4
L:1/8
K:D
P:A
fg|""D""abag f/2d3/2(3def|""G""gBed ""A7""c/2A3/2A2","['""D""abag f/2d3/2df', 'P:B
de', '""D""fd""G""ge ""D""f/2d3/2(3def', '\
""G""B/2d3/2""A7""c/2e3/2 ""D""d2:', '""G""gBed ""A7""c/2A3/2A2']",03124,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
John Peel,"M:4/4
L:1/8
K:A
P:A
cd|""A""e2e2 c2cd|""A""e2e2 c2Bc","['""A""A2A2 a3a', '""E7""d2d2 B2cB', '""D""f2dB ""A""A2GA', '""D""g2f2 ""A""e2dc', '""E7""d2d2 B2Bc']",41032,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
John Peel Variations,"M:4/4
L:1/8
K:A
cd|""A""e2e2 c2cd|""A""e2e2 c2Bc","['""E7""d2d2 B2cB', '""D""f2dB ""A""A2GA', '""E7""d2d2 B2Bc', '""A""A2A2 a3a', '""D""g2f2 ""A""e2dc']",20341,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Kafoozalum,"M:4/4
L:1/8
K:A
P:A
cd|""A""e2ed cde2|""E7""""G""Bcdc Bcd2","['""A""cAEA cAc2', '""E7""dBGB dBd2', '""A""ABcA ""E7""""G""B2:', 'P:B
AB', '""A""e2ed cde2']",42301,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Keel Row,"M:4/4
L:1/8
K:A
P:A
ed|""A""c2Ac ""D""d2Bd|""A""c2Ac ""E7""BGEd","['\
""A""c/2A3/2""E7""B/2G3/2 ""A""A2:', '""A""c2Ac ""D""d2Bd', 'P:B
AB', '""A""c/2e3/2ea ""D""f2ed']",1023,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
King of the Fairies,"P:AAB
M:4/4
L:1/8
K:Em
P:A
B2|""Em""E2EF G2GA|""Em""B2B2 GFGA","['""Em""E4 E2:', '""D""FGAF D2B,2', '""Em""B2E2 EFGE', '""G""BAGB d2dc', '""Em""B2E2 ""D""GFED', '""Em""EDEF ""C""GFGA']",215340,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
King of the Fairies,"P:AAB
M:4/4
L:1/8
K:Em
P:A
B2|""Em""EDEF GFGA|""Em""B4 ""B7""GFGA","['""G""BAGB d2(3d^c=c', '""Em""B2E2 EFGE', '""Em""EDEF ""C""GFGA', '""Em""B2E2 ""D""GFED', '""D""FGFE D2B,2']",14203,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Kitty O'Niel,"M:4/4
L:1/8
K:A
(3efg|""A""a2g2 a2A2|""D""fedf ""A""e2cA","['""A""EA""E7""GB ""A""Aceg', '""E7""B2^A2 B2E2', '""A""a2g2 a2A2', '""E7""B2^A2 B2E2', '""A""EA""E7""GB ""A""A4', '""D""fedf ""A""e2cA']",102534,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Kitty O'Niel's Champion,"M:4/4
L:1/8
K:A
AB|""A""c2^B2 c2B2|""A""c^Bcf ecAc","['""A""c^Bcf ecAc', '""Bm""Bagf ""E7""edcB', '""Bm""B2^A2 B2=a2', '""Bm""B2^A2 B2A2', '""A""c2^B2 c2B2']",31402,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Lad with the Plaidie,"P:AABBC
M:4/4
L:1/8
K:D
P:A
de|""D""fgfe ""G""dedB|""D""AFAd ""A7""c/2e3/2e2","['""D""fgfe ""G""dedB', '""D""A2(3FED F/2A3/2Ad', '""A7""cdea ""D""f/2d3/2 :', 'P:B
de']",0231,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Liverpool Hornpipe,"M:4/4
L:1/8
K:D
P:A
AG|""D""FDFA dfaf|""G""gfec ""A""dcBA","['""Em""EDEF ""A7""GBAG', '""G""G2BG ""D""F2AF', '""G""gfec ""A""dcBA', '""D""FDFA dfaf']",1032,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Londonderry Hornpipe,"M:4/4
L:1/8
K:D
P:A
AG|""D""F2Ad fdAF|""G""G2Bd gdBG","['""D""F2Ad fdAF', '""Em""E2GB ""A7""(3edcAG', '""D""fafd ""A7""Bgec', '""G""G2Bd g2ag', '""D""F2Ad fdAF']",41032,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Lord Moira,"P:AAB
M:4/4
L:1/8
K:G
P:A
B/2A/2|""G""G2G2 B/2d3/2dB|""C""cABG ""D7""AG(3FED","['""G""gabg ""D""agf/2d3/2', 'P:B
d', '\
""C""(3efg""D7""(3fga ""G""g2g:', '""G""G2G2 B/2d3/2d2']",3210,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Marquis of Lorne,"M:4/4
L:1/8
K:G
P:A
ba|""G""gfge B2ed|""Am""cBcA E2AG","['""D7""FGAB cdef', '""G""gfge ""Em""B2ed', '""Am""cBcA E2AG', '""G""(3gba(3gfe ""D7""d2ba']",0312,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
MacAllan,"M:4/4
L:1/8
K:A
P:A
D/2|C/2E3/2A3/2B/2 c/2B/2A/2G/2A3/2c/2|d3/2e/2f3/2e/2 d/2c/2B/2A/2G/2B3/2","['C/2E3/2A3/2B/2 c/2B/2A/2G/2A3/2a/2', 'a3/2A/2c/2d/2e f3/2a/2e3/2a/2', 'f/2g/2a/2f/2ea cAA3/2:', 'P:B
g/2']",0231,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Madame Bonaparte,"M:4/4
L:1/8
K:G
P:A
dc|""G""B2BA BdBG|""C""c2cB cecA","['""G""dBGB ""D7""cAFA', '""G""B2BA BdBG', '""G""GBdf ""Em""gfge', '""Am""d3e ""D7""dcBA', '""C""cBcd efge']",23140,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Madame Bonaparte Variation,"M:4/4
L:1/8
K:G
P:A
dc|""G""B2BA (3Bcd(3BAG|""C""c2cB (3cde(3cBA","['""G""B2BA (3Bcd(3BAG', '""Am""dcde ""D7""(3ded(3cBA', '""C""(3cGc(3ece (3gfg(3age', '""G""(3GDG(3BGB ""Em""(3dBd(3gfe']",3102,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Maggie Pickens,"M:4/4
L:1/8
K:G
P:A
GA|:""G""GEDE GAB2|""C""(3cBABG AGE2","['""G""dedB ""Em""AGE2', '""G""Bdge dcB2', 'P:B
""G""Bdge dcB2', '""G""GEDE GAB2', '""G""dedB ""D""A2""G""G2:']",34201,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Man from Newry,"M:4/4
L:1/8
K:G
P:A
(3DEF|""G""G2g2 gdBG|""C""c2e2 egfe","['""G""dBdg ""D7""ecAF', '""G""dBdg ""C""edcB', '""C""c2e2 egfe', '""Am""ABcA ""D7""GFED', '""G""G2g2 gdBG', '""G""G2B2 G2:']",134205,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Manchester,"M:4/4
L:1/8
K:D
P:A
(3ABc|""D""dcdA FAdf|""Em""edcB ""A7""A2g2","['""Em""edcB ""A7""Agfe', '""D""fgaf ""G""gfed', '""Em""edcB ""A7""A2g2', '""D""dcdA FAdf', '""D""fgaf ""A7""bgec']",10324,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
McCusker,"M:4/4
L:1/8
K:D
P:A
A2|""D""(3ABAFA f2d2|""D""(3ABAFA f2da","['""G""gfed ""A""c2cd', '""D""(3ABAFA f2da', '""E7""(3efe(3dcB ""A7""A4', '""D""(3ABAFA f2d2']",0231,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Millicent's Favourite,"P:ABC
M:4/4
L:1/8
K:D
P:A|:ag|""D""fadf AdFA","['""D""DFAd f2ef', '""Em""gbeg ceAF', '""Em""gbge ""A7""cABc', '""D""DFAd f2ef', '""A7""GABG E2ag', '""D""fadf AdFA']",014532,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Crossing the Minch,"M:4/4
L:1/8
K:D
de|""D""fA(3AAA f2ef|""G""gB(3BBB g2ag","['""D""fgaf ""A7""gecd', '""D""fA(3AAA f2ef', '""Em""gBed ""A7""dcde', 'e2d2 d2:', '""D""fA(3AAA f2ef', '""G""gB(3BBB g2ag']",421503,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Mrs Willis,"M:4/4
L:1/8
K:F
P:A
(3FED|""F""CAGF CAGF|""Bb""(3DEDGB ""G7""d4","['""F""CAGF CAGF', '""F""(3FAG(3FED ""C7""C4', '""C7""c_cBG AGDE', '""C7""c_cBG AGDE', '""F""F2A2 F2:', '""Bb""(3DEDGB ""G7""d4']",310524,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Navvie on the Line,"M:4/4
L:1/8
K:G
P:A
Bc|""G""dgfe dcBA|""G""GBDG B2(3BAG","['""G""GBDG B2AG', '""G""GBDG ""D7""B2Bc', '""G""dgfe (3ded(3cBA', '""D7""FADF A2(3AGF']",3120,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
City of Savannah,"M:4/4
L:1/8
K:D
P:A
FG|""D""(3ABAFA dfaf|""G""gaba gfed","['""A7""ABGA FFG^G', '""Em""cded cdBc', '""D""(3ABAFA dfaf', '""G""gaba gfed']",1023,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Orange and Blue,"M:4/4
L:1/8
K:D
ag|""D""f/2d3/2d2 A/2d3/2d2|""D""fdaf d2ef","['""D""fdaf d2(3fga', '""A7""cAec A2ag', '""D""f/2d3/2d2 A/2d3/2d2', '""Em""g/2e3/2e2 c/2e3/2e2']",3120,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Penny on the H2O,"M:4/4
L:1/8
K:D
P:A
A2|""D""d2d2 d2d2|""A7""cdec ""D""d3e","['""D""f2f2 ""Bm""f2f2', '""Em""efge ""A7""cABc', '""D""defg ""D7/c""a4', '""A7""efge ""D7""f4', '""G""gabg ""A7""e2e2', '""D""fgaf ""Bm""d4']",034512,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Phillibelula,"P:AAB
M:4/4
L:1/8
K:D
P:A|:fe|""D""dcdB A2GF","['""G""EEFG ""A7""A2Bc', ':de', 'P:B', '""D""d2f2 d2:', '""D""f2f2 ""Bm""f2gf', '""D""dBAA ""A7""ddec']",053214,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Proudlocks's Variation,"M:4/4
L:1/8
K:G
P:A
D2|""G""(3GED(3GAB ""D7""(3AFD(3ABA|""G""(3GBd(3gfg ""C""(3agf(3edc","['""G""(3GFE(3DEF (3GDB:', '""G""(3GED(3GAB ""D7""(3AFD(3ABA', '""G""(3Bcd(3BAG ""D7""(3ABc(3AGF', '""G""(3Bcd(3BAG ""D7""(3ABc(3AGF', '""G""(3GBd(3gfg ""C""(3agf(3edc', '""G""(3GFG(3AGF ""D7""(3GFE(3DEF']",351420,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Proudlocks's Hornpipe,"M:4/4
L:1/8
K:G
P:A
D2|""G""GDGB ""D7""AGAB|""G""G2gf ""C""gedc","['""G""G2gf ""C""gedc', '""G""(3BcdBG ""D7""(3ABcAF', '""G""GFGA ""D7""GFED', '""G""GDGB ""D7""AGAB']",1230,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Puddlegum's Misery,"M:4/4
L:1/8
K:Am
P:A
(3G_GF|""E7""E2e2 _e2d2|""Am""cBAB c2BA","['""E7""E2e2 _e2d2', '""E7""^GEGB eBGE', '""Am""cBAB ""F""c2BA', '""Am""AEAc ecAc']",1302,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Redesdale Hornpipe,"M:4/4
L:1/8
K:G
P:A
(3def|""G""gdBd GB(3def|""G""gdBd G2AB","['""C""ed^cd ""D7""B2(3def', '""Am""cAFA ""D""DFAc', '""G""gdBd GB(3def', '""G""gdBd G2AB']",1023,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Rights of Man,"M:4/4
L:1/8
K:G
P:A
GA|""Em""BcAB GAFG|""Em""EFGA B2ef","['""Em""gfed ""G""edBd', '""Em""BcAB GAFG', '""Em""EFGA B2ef', '""Am""cBAG ""B7""A2GA']",0312,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Roxburgh Castle,"M:4/4
L:1/8
K:A
P:A
cB|""A""AGAc ecAc|""D""dcdf ""A""ecAc","['""A""AGAc ecAc', '""Bm""B2Bc ""E7""BdcB', '""D""d2(3fed ""A""c2a2', '""A""agaf ""E7""edcB', '""D""dcdf ""A""ec(3Ace']",21043,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Sheffield Hornpipe,"M:4/4
L:1/8
K:D
P:A
FE|""D""D2FA d2dc|""G""BGBd ""D""A2Ad","['""A""c2ce ""D""d2df', '""D""D2FA d2dc', '""Em""ecdB ""A7""AFGE', '""G""BGBd ""A7""cAce', '""G""BGBd ""D""A2Ad']",02143,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Shetland Polka,"M:4/4
L:1/8
K:G
P:A
(3DEF|""G""G2F2 E2D2|""D7""ABcA ""G""dBG2","['""C""e/2g3/2g2 ""G""d/2g3/2g2', '""A7""ABAG ""D7""FAd2', '""C""e2d2 ""Am""c2B2', '""G""G2F2 E2D2', '""Am""G2""D7""F2 ""G""G2', '""D7""ABcA ""G""dBG2']",213504,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Steam-boat Hornpipe,"M:4/4
L:1/8
K:G
P:A
(3def|""G""g2bg d2gd|""G""BcdB G2AB","['""D7""FGAB cdef', '""G""BcdB G2AB', '""G""g2bg d2gd', '""C""c2ec ""Am""A2cA']",3021,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Thames Hornpipe,"M:4/4
L:1/8
K:G
P:A
dc|""G""BgdB ""D7""AecA|""G""GdBG ""D7""FcAF","['""G""GdBG ""D7""FcAF', '""A7""^cded ""D7""fed=c', '""G""GDEF GABc', '""G""GDEF GABc', '""G""BgdB ""D7""AecA']",31402,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Three Little Blackberries,"M:4/4
L:1/8
K:D
P:A
FG|""D""A2A2 ""G""B2B2|""D""A^GAd f2df","['""D""A2A2 ""G""B2B2', '""D""A^GAd f2df', '""D""ddfd ""A7""BGFG', '""A7""e^def g2e2']",3201,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Tom Howard's,"M:4/4
L:1/8
K:A
P:A
e2|""A""ABcd ecae|""D""fgaf ""A""ecae","['""D""fagf ""E7""edcB', '""A""ABcd ecae', '""D""fgaf ""A""ecae', '""D""fgaf ""A""ecAc', '""B7""BAGF ""E7""E2(3EFG']",34120,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Trumpet,"M:4/4
L:1/8
K:G
(3DEF|""G""(3GGGG2 (3GGGG2|""G""BGBd gdBG","['""D""d2d2 ""D7""d2 c2', '""G""(3GGGG2 (3GGGG2', '""D""fafd ""A7""ege^c', '""G""BGBd g2ag', '""D7""(3DDDD2 (3DDDD2', '""D7""FDFA dAFD']",451320,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Croen y Ddeted Felan,"M:4/4
L:1/8
K:G|:""G""GABc d2d2|""C""cBcA ""D""d2d2","['""G""GABc d2d2', '""C""cBcA ""D""d2d2', '""Am""AGFG ""D""A2d2', '""C""cBAA ""G""BAGG']",3201,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
The Lark in the Clear Air,"M:6/4
L:1/4
K:D
P:A
af|""D""d3 ccd|""G""BG ""D/a""A2 ""A7""AB/2c/2","['\
M:5/4
""D""df""G""B""Em""e""A7""c', '""D""d3
P:B
M:4/4
""A7""A2', '""Bm""d3 ccd', '\
M:4/4
""D""d3/2e/2 fg', '""G""BG""D/a""A2""A7""AB/2c/2', '\
M:6/4
""Em7""e2""A""a2af']",352401,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
Abram Circle,"M:4/4
L:1/4
K:G
Q:1/4=180
D|:""G""GB/2c/2 ""D7""de/2f/2|""G""ga ""Em""b2","['""G""gd ""D7""d/2e/2d/2c/2', '""G""B2 G2:', ':
""C""ec eg/2e/2', '""G""dB d2']",0123,,"Given the initial three bars and a shuffled list of the remaining bars, output the indices in the correct sequence. Return only the 0-indexed positions from the shuffled list as a concatenated string. For instance, if the shuffled list is [Bar A, Bar B, Bar C, Bar D], and the correct order is B → D → A → C, output ‘1302‘ "
